ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12214737,JD423952,11/07/2020 11:21:00 AM,094XX S LAFLIN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2222.0,22.0,21.0,73.0,14,1167990.0,1842100.0,2020.0,12/17/2020 03:40:05 PM,41.722256797,-87.660273938,"(41.722256797, -87.660273938)"
12881249,JF460798,10/22/2022 05:12:00 PM,022XX N SAWYER AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),False,False,1413.0,14.0,32.0,22.0,06,1154143.0,1914703.0,2022.0,01/03/2023 03:40:27 PM,41.921774821,-87.70906176,"(41.921774821, -87.70906176)"
12420332,JE297626,07/10/2021 06:00:00 PM,050XX W CONCORD PL,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,2533.0,25.0,37.0,25.0,02,1142565.0,1910502.0,2021.0,07/17/2021 03:39:52 PM,41.910470235,-87.751707591,"(41.910470235, -87.751707591)"
12515759,JE414097,10/18/2021 04:00:00 PM,055XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1522.0,15.0,29.0,25.0,08B,1139470.0,1898121.0,2021.0,10/25/2021 03:42:49 PM,41.876552273,-87.763379746,"(41.876552273, -87.763379746)"
12646785,JF179160,04/28/2021 12:00:00 AM,054XX S MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,231.0,2.0,3.0,40.0,11,,,2021.0,03/19/2022 03:40:32 PM,,,
12662172,JF197659,04/05/2022 07:20:00 AM,0000X W TERMINAL ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,True,False,1653.0,16.0,41.0,76.0,26,1101811.0,1934419.0,2022.0,01/03/2023 03:40:27 PM,41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
12734752,JF285523,06/19/2022 12:30:00 AM,033XX N CLARK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,1924.0,19.0,44.0,6.0,14,1169312.0,1922535.0,2022.0,01/03/2023 03:40:27 PM,41.942949651,-87.653098613,"(41.942949651, -87.653098613)"
12399908,JE272777,06/20/2021 04:49:00 AM,045XX S DREXEL BLVD,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,221.0,2.0,4.0,39.0,06,1182957.0,1875015.0,2021.0,06/27/2021 03:40:29 PM,41.812244589,-87.604430616,"(41.812244589, -87.604430616)"
12423377,JE301298,07/14/2021 02:24:00 PM,064XX N WESTERN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2412.0,24.0,50.0,2.0,08B,1159148.0,1942619.0,2021.0,07/21/2021 03:41:25 PM,41.998276388,-87.68990181,"(41.998276388, -87.68990181)"
12359246,JE222473,05/06/2021 09:30:00 PM,010XX W 95TH ST,0810,THEFT,OVER $500,NURSING / RETIREMENT HOME,False,False,2223.0,22.0,21.0,73.0,06,1171176.0,1841811.0,2021.0,05/13/2021 03:40:50 PM,41.721394792,-87.648612493,"(41.721394792, -87.648612493)"
