ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On
12228386,JD439885,2020-11-23 17:50:00,091XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,633,6,8,44,06,2020,2020-12-17 15:40:05
12231114,JD443006,2020-11-27 10:12:00,037XX N MOZART ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1733,17,33,16,11,2020,2020-12-17 15:40:05
12682460,JF222021,2020-05-14 11:00:00,015XX W LUNT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,2431,24,49,1,11,2020,2022-04-28 15:40:42
12772175,JF330965,2022-07-23 15:12:00,023XX W VAN BUREN ST,501A,OTHER OFFENSE,ANIMAL ABUSE / NEGLECT,APARTMENT,False,False,1225,12,27,28,26,2022,2023-01-03 15:40:27
12537289,JE440890,2021-11-10 17:10:00,005XX S PULASKI RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA STATION,True,False,1132,11,24,26,11,2021,2021-11-17 15:41:31
12657901,JF192444,2022-03-10 12:00:00,038XX W GRENSHAW ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,1133,11,24,29,11,2022,2023-01-03 15:40:27
12800338,JF363659,2022-08-16 08:19:00,011XX N CLARK ST,0860,THEFT,RETAIL THEFT,DRUG STORE,False,False,1824,18,2,8,06,2022,2023-01-03 15:40:27
12388251,JE258150,2021-06-07 16:43:00,058XX W NORTH AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,2531,25,29,25,06,2021,2021-06-14 15:41:04
12628610,JF156935,2022-02-24 00:00:00,030XX S KEDVALE AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,False,True,1031,10,22,30,08B,2022,2023-01-03 15:40:27
12288332,JE135574,2021-02-07 23:30:00,059XX W SUPERIOR ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1511,15,29,25,08B,2021,2021-02-14 15:40:29
12849311,JF422460,2022-10-04 21:30:00,061XX S KENWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,314,3,20,42,07,2022,2023-01-03 15:40:27
12250414,JD465426,2020-12-21 13:00:00,059XX W SUPERIOR ST,0810,THEFT,OVER $500,STREET,False,False,1511,15,29,25,06,2020,2020-12-28 15:40:19
12764254,JF321437,2022-07-17 22:00:00,020XX E 81ST ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,414,4,8,46,07,2022,2023-01-03 15:40:27
12808397,JF373826,2022-08-28 16:00:00,119XX S PRAIRIE AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,False,True,532,5,9,53,26,2022,2023-01-03 15:40:27
12659958,JF195042,2022-04-01 15:00:00,009XX N CAMBRIDGE AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,False,False,1823,18,27,8,03,2022,2023-01-03 15:40:27
12583770,JF102456,2022-01-03 13:58:00,001XX E DELAWARE PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - GARAGE,False,False,1833,18,2,8,07,2022,2023-01-03 15:40:27
12466609,JE354235,2021-08-29 13:30:00,028XX N RIVERWALK DR,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,False,False,1432,14,32,21,11,2021,2021-09-05 15:40:12
12111852,JD304448,2020-07-20 21:00:00,039XX W FULLERTON AVE,4650,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,SIDEWALK,True,False,2525,25,35,22,26,2020,2020-08-06 15:41:38
12636520,JF166950,2022-03-08 09:55:00,126XX S UNION AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,523,5,34,53,06,2022,2023-01-03 15:40:27
12217673,JD425978,2020-11-09 05:00:00,076XX S SAGINAW AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,421,4,7,43,06,2020,2020-12-17 15:40:05
12520097,JE419400,2021-10-23 01:00:00,027XX N MERRIMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,False,False,2512,25,30,19,14,2021,2021-10-30 15:40:07
12880396,JF459915,2022-11-02 17:45:00,005XX W ROSCOE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1925,19,44,6,11,2022,2023-01-03 15:40:27
12347426,JE208016,2021-04-23 15:00:00,049XX W CRYSTAL ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,2533,25,37,25,11,2021,2021-04-30 15:40:23
12870151,JF447796,2022-10-24 11:45:00,045XX W BELMONT AVE,0460,BATTERY,SIMPLE,SCHOOL - PRIVATE BUILDING,False,False,1731,17,30,16,08B,2022,2023-01-03 15:40:27
12780764,JF340687,2022-08-01 21:20:00,045XX W WEST END AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,1113,11,28,26,03,2022,2023-01-03 15:40:27
12615658,JF140932,2022-02-11 07:00:00,058XX S KILBOURN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False,813,8,13,62,14,2022,2022-02-18 15:44:17
12067535,JD251734,2020-06-02 22:03:00,009XX N FAIRFIELD AVE,0560,ASSAULT,SIMPLE,OTHER (SPECIFY),False,False,1211,12,26,24,08A,2020,2020-06-09 15:43:29
12494584,JE388407,2021-09-26 21:43:00,005XX N TRUMBULL AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1121,11,27,23,15,2021,2021-10-03 15:40:21
12822164,JF389873,2022-09-02 20:00:00,064XX N HAMILTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,2412,24,50,2,07,2022,2023-01-03 15:40:27
12633294,JF163033,2022-03-04 10:00:00,106XX S CHAMPLAIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,512,5,9,50,14,2022,2023-01-03 15:40:27
12946067,JG108894,2022-12-13 20:00:00,002XX S WESTERN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE,False,False,1225,12,27,28,11,2022,2023-11-15 15:41:31
12790902,JF353153,2022-08-11 14:00:00,102XX S PARNELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - YARD (FRONT / BACK),False,False,2232,22,9,73,07,2022,2023-01-03 15:40:27
12783111,JF343846,2022-07-31 18:00:00,016XX N MARSHFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1433,14,32,24,06,2022,2023-01-03 15:40:27
12502433,JE398028,2021-10-01 00:00:00,003XX W 69TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,722,7,6,68,07,2021,2021-10-08 15:41:20
12405550,JE279661,2021-06-25 22:47:00,043XX W WILCOX ST,1310,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,False,False,1115,11,28,26,14,2021,2021-07-02 15:40:59
12722547,JF269693,2022-06-06 12:30:00,084XX S STEWART AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,622,6,21,44,07,2022,2023-01-03 15:40:27
